,WeekDay,Director,Genre,MovieTitle,ReleaseDate,Studio,AdjustedGrossMillions,BudgetMillions,GrossMillions,IMDbRating,MovieLensRating,OverseasMillions,OverseasPercent,ProfitMillions,ProfitPercent,RuntimeMins,USMillions,GrossPercentUS
222,Friday,Shawn Levy,adventure,Night at the Museum: Secret of the Tomb,19/12/2014,Fox,362,127.0,360.4,6.3,2.78,246.6,68.4,233.4,183.8,98,113.7,31.6
224,Friday,Mike Mitchell,animation,Alvin and the Chipmunks: Chipwrecked,16/12/2011,Fox,362.3,80.0,342.7,4.4,2.11,209.6,61.2,262.7,328.4,87,133.1,38.8
225,Friday,Paul Greengrass,action,The Bourne Supremacy,23/07/2004,Universal,363.2,85.0,288.5,7.8,3.85,112.3,38.9,203.5,239.4,108,176.2,61.1
226,Friday,Hayao Miyazaki,animation,Spirited Away,20/09/2002,Buena Vista Studios,363.4,19.0,274.9,8.6,4.21,264.9,96.3,255.9,1346.8,125,10.1,3.7
227,Friday,John Woo,action,Face/Off,27/06/1997,Paramount Pictures,364,80.0,245.7,7.1,3.65,133.4,54.3,165.7,207.1,138,112.3,45.7
228,Friday,Darren Aronofsky,action,Noah,28/03/2014,Paramount Pictures,364.2,130.0,362.6,5.9,2.84,261.4,72.1,232.6,178.9,138,101.2,27.9
229,Friday,"Ray Patterson, Charles Nichols",animation,Scooby-Doo,14/06/2002,WB,364.4,84.0,275.7,4.9,2.4,122.4,44.4,191.7,228.2,90,153.3,55.6
230,Friday,Joseph McGinty Nichol,action,Charlie's Angels,3/11/2000,Sony,364.7,90.0,264.1,8.1,3.8,138.8,52.6,174.1,193.4,98,125.3,47.4
231,Friday,John McTiernan,action,The Hunt for Red October,2/03/1990,Paramount Pictures,364.8,30.0,200.5,7.6,3.86,78.5,39.1,170.5,568.3,134,122.0,60.9
232,Friday,Martin Campbell,action,The Mask of Zorro,17/07/1998,Sony,365.2,65.0,250.3,6.7,3.29,156.2,62.4,185.3,285.1,136,94.1,37.6
233,Friday,Tony Scott,action,Enemy of the State,20/11/1998,Buena Vista Studios,365.6,85.0,250.6,7.3,3.54,139.1,55.5,165.6,194.8,132,111.5,44.5
237,Friday,Mike Newell,action,Prince of Persia: The Sands of Time,28/05/2010,Buena Vista Studios,366.9,200.0,336.4,6.6,3.26,245.6,73.0,136.4,68.2,116,90.8,27.0
238,Friday,Chuck Russell,action,Eraser,21/06/1996,WB,367.2,100.0,242.3,6.0,3.18,141,58.2,142.3,142.3,115,101.3,41.8
240,Friday,Ivan Reitman,action,Kindergarten Cop,21/12/1990,Universal,367.5,26.0,202,5.9,2.82,110.5,54.7,176,676.9,111,91.5,45.3
241,Friday,Tim Johnson,animation,Home,27/03/2015,Fox,367.7,130.0,367.7,6.8,2.38,193,52.5,237.7,182.9,94,174.7,47.5
242,Thursday,David Fincher,drama,The Curious Case of Benjamin Button,25/12/2008,Paramount Pictures,368.8,160.0,333.9,7.8,3.65,206.4,61.8,173.9,108.7,166,127.5,38.2
243,Friday,Simon West,action,Lara Croft: Tomb Raider,15/06/2001,Paramount Pictures,368.9,94.0,274.7,5.7,2.77,143.5,52.3,180.7,192.2,100,131.2,47.7
